,text,search_term,label0
997,Ukrainian Boeing 737 passenger plane crashes in Iran,Boeing,1
1001,Boeing CEO Dave Calhoun says his “stomach turned” when he first saw the controversial messages of Boeing employees. “I can’t rewrite history. I wish I could.” ,Boeing,1
1002,"“We believe this airplane is safer than the safest airplane flying today,” Boeing CEO Dave Calhoun says about the 737 Max.",Boeing,1
1003,"Boeing CEO Dave Calhoun says he is “confident” the 737 Max can reach recertification by mid-year. He adds, “I do not and will not control this timeline.”",Boeing,1
1004,Boeing reported its first annual net loss in more than two decades amid the 737 Max crisis.,Boeing,1
1005,Boeing concerned about coronavirus impact on air travel ,Boeing,1
1007,Boeing takes $410 million charge to redo failed astronaut flight test if NASA requires,Boeing,1
1008,'My stomach turned' — Boeing CEO outraged by internal 737 Max messages before deadly crashes,Boeing,1
1009,"LISTEN NOW: A busy day of earnings begins, with Boeing reporting its first annual loss in more than 20 years. Listen and subscribe to the @SquawkStreet PODCAST here:",Boeing,1
1013,Boeing CEO says he's confident regulators will sign off on 737 Max by mid-year,Boeing,1
1014,"Boeing expects the cost of the 737 Max grounding to rise to more than $18 billion, roughly double what it outlined in the previous quarter.",Boeing,1
1015,"COMING UP: Dave Calhoun, President and CEO of Boeing, joins us on TV. ",Boeing,1
1019,"Fed decision, Boeing earnings and McDonald's results: 3 things to watch for on Wednesday",Boeing,1
1020,"What to watch today: Dow to bounce, coronavirus cases spike and Boeing secures financing ",Boeing,1
1021,Boeing secures more than $12 billion in financing to help weather 737 Max crisis,Boeing,1
1022,"Boeing 777X takes off in maiden flight, a milestone for company struggling from Max crashes",Boeing,1
1023,"Boeing 737 Max could be recertified before mid-year, FAA says",Boeing,1
1025,Boeing is considering another cut to 787 Dreamliner production,Boeing,1
1026,"“I think he’s the right man at the right time,” Southwest Airlines CEO Gary Kelly says about Boeing’s new CEO David Calhoun. ",Boeing,1
1027,“We need to get this thing done and get the Max back up in the air.” Southwest Airlines CEO Gary Kelly says there needs to be transparency and strong performance for passengers to feel confident in the safety of Boeing’s 737 Max.,Boeing,1
1028,Boeing-built DirecTV satellite may explode in orbit after suffering unexpected malfunction ,Boeing,1
1049,"Stocks closed down across the board on a day packed full of news. The Dow dropped more than 100 points thanks to a big decline in Boeing, down as much as 200 points at the day's lows.",Boeing,1
1050,Boeing doesn't expect regulators to sign off on 737 Max until June or July,Boeing,1
1051,Boeing seeks to borrow $10 billion or more as 737 Max crisis wears on,Boeing,1
1053,"737 Max crisis could cost Boeing as much as $20 billion, Wall Street estimates",Boeing,1
1055,DOT panel calls for more oversight after review of Boeing 737 Max approval,Boeing,1
1056,Southwest joins United and American in pulling the Boeing 737 Max from their schedules until June.,Boeing,1
1058,Southwest pulls Boeing 737 Max until June as airlines dig in for longer delays,Boeing,1
1071,Mnuchin says Boeing 737 Max crisis could slow US growth by a half point in 2020,Boeing,1
1073,FAA fines Boeing $5.4 million for defective 737 Max parts,Boeing,1
1074,"Boeing's Bad Week, Mideast tensions &amp; the scoop on Goop ",Boeing,1
1075,"Stocks making the biggest moves midday: Boeing, Grubhub, L Brands &amp; more ",Boeing,1
1076,"LISTEN NOW: December jobs numbers fall short of expectations, big bucks flow into the 2020 race and Boeing’s damaging employee messages released — these stories and more on the Squawk Pod podcast by @SquawkCNBC. Subscribe here:",Boeing,1
1079,Ex-NTSB official: Shocking Boeing 737 Max messages 'paints a bad light' but no new safety risks,Boeing,1
1080,"A Boeing employee asked a colleague, “Would you put your family on a MAX simulator-trained aircraft? I wouldn’t.” His co-worker replied: “No.” ",Boeing,1
1084,"Boeing releases communications on 737 MAX simulators it calls ""completely unacceptable.""",Boeing,1
1088,"Stocks making the biggest moves midday: Walgreens, Boeing, Lennar, Marathon Oil &amp; more ",Boeing,1
1089,Cowen downgrades Boeing shares: 'Turnaround will take time' ,Boeing,1
1092,"Boeing recommends simulator training for 737 Max, which could cause additional delays",Boeing,1
1093,"Here are Tuesday's biggest analyst calls of the day: Tesla, Micron, Pfizer, PayPal, Boeing &amp; a lot more ",Boeing,1
1094,Boeing reassigns thousands of 737 Max workers while supplier Spirit mulls layoffs due to grounding,Boeing,1
1099,How U.S. sanctions on Iran could hamper Boeing plane crash investigation ,Boeing,1
1101,Ukrainian Foreign Minister Vadym Prystaiko says three British nationals were on board a Boeing 737 plane that crashed shortly after taking off from Tehran and authorities are continuing their investigations,Boeing,1
1103,"After 346 people were killed in 2 fatal crashes in 5 months, Boeing suspended production of the 737 MAX aircraft and released new documents that were described as “very disturbing” by a US congressional aide. So what does this mean for the company and beyond?",Boeing,1
1104,Update: Iran says it won't give Boeing and the Americans crashed plane's black box. More soon ,Boeing,1
1105,Plane manufacturer Boeing has posted its first annual loss in more than two decades ,Boeing,1
1106,Boeing sees first annual loss in more than two decades ,Boeing,1
1107,Boeing has successfully completed the first flight of the world's largest twin-engine jetliner - a respite from the ongoing controversy surrounding the 737 MAX,Boeing,1
1108,Boeing 777X: One of world's biggest passenger planes completes test flight,Boeing,1
1109,Boeing shares have fallen sharply after the company admitted it could be July until the 737 MAX fleet may be cleared to fly again,Boeing,1
1110,Boeing admits crisis-hit 737 MAX may not return until July,Boeing,1
1112,"Boeing 737 MAX aircraft 'designed by clowns', said worker before fatal crashes",Boeing,1
1114,"Three of the Britons killed after a Boeing 737 crashed in Tehran were an engineer, a BP employee and a businessman visiting his family",Boeing,1
1115,"All 176 people on board a Ukrainian Boeing 737 died when it crashed shortly after take off from Iran's main international airport. Iranian state TV reported that ""technical problems"" were to blame. For more on this story, head here:",Boeing,1
1116,"Three Britons are among the 176 people who died when a Ukrainian Boeing 737 crashed shortly after take off from Iran's main international airport, officials say. For the latest on this story, head here:",Boeing,1
1117,BREAKING: Three British nationals were on board the Ukrainian Boeing 737-800 plane that crashed shortly after take off from Iran's main international airport. 176 people are believed to have died - latest on this breaking story here:,Boeing,1
1122,Boeing ends resistance to 737 MAX simulator training as fleet remains grounded,Boeing,1
1123,Boeing has placed the total cost of the 737 Max crisis at more than double its previous estimate,Boeing,1
1124,"Peggy Hollinger: The crisis that has engulfed Boeing since 346 people were killed in two crashes of its now grounded passenger jet, the 737 Max, is unprecedented in the company’s history",Boeing,1
1126,Boeing upsizes new debt fundraising to $12bn,Boeing,1
1127,Boeing shares bounce after progress on 737 Max,Boeing,1
1133,Muilenburg walks away from Boeing with potential $80m,Boeing,1
1136,Boeing 737 crash in Tehran kills 176,Boeing,1
1138,Boeing puts cost of 737 Max crashes at $19bn as it slumps to annual loss,Boeing,1
1143,737 Max scandal: the internal Boeing messages and emails,Boeing,1
1154,Boeing now recommends 737 Max flight simulator training for pilots,Boeing,1
1155,Muilenburg was fired from Boeing after the fallout from a pair of fatal crashes tarnished the company's reputation. ,Boeing,1
1156,"Boeing says India is ""critical"" to its international growth plans. ",Boeing,1
1157,Extraordinary growth potential in US-India defence trade: Top Boeing official ,Boeing,1
1158,Boeing's new 777X airliner takes off on first flight.,Boeing,1
1159,"#RepublicDay | Indian Navy showcases its assets, namely Boeing P8I Long Range Maritime Patrol aircraft, the Kolkata Class Destroyer and the Kalvari Class submarine. (ANI) #RepublicDayParade #RepublicDayIndia #RepublicDay2020 More on",Boeing,1
1165,First flight of Boeing's 777X set for Thursday: Report,Boeing,1
1169,"Boeing Staff Called Indian Regulator ""Even Stupider, Fools"": Documents ",Boeing,1
1171,"No severence package for ousted CEO Dennis Muilenburg, says Boeing. ",Boeing,1
1175,Ukrainian airline crash in Iran poses another challenge for Boeing. ,Boeing,1
1177,Boeing recommends 737 MAX simulator training before return to service.,Boeing,1
1179,Air Zimbabwe took delivery of one of the two Boeing 777-200 aircraft bought by government from Malaysia to revive national carrier,Boeing,1
1182,#DailyWorldBriefing on Jan. 9: 1. Trump says no U.S. casualties in Iran's retaliatory attacks,Boeing,1
1184,"#Boeing says ready to ""assist in any way needed,"" following #UkrainianPlaneCrash ",Boeing,1
1197,"After mishap with Boeing spacecraft, NASA faces a dilemma ",Boeing,1
1198,Iran crash presents embattled Boeing with new crisis ,Boeing,1
1199,"After the Boeing crash near Tehran, who will investigate? ",Boeing,1
1204,"Boeing decided to not just rewrite the software for the MCAS flight control system, which is believed to have contributed to both MAX crashes, but the entire flight computer software. ",Boeing,1
1206,"Rep. Rick Larsen, chair of the House subcommittee on aviation, says they could have ""potentially saved the lives of 346 people"" if Boeing had been more ""forthcoming early on"" with the emails and messaging.",Boeing,1
1207,Former Boeing CEO gets $62.2 million but loses some benefits.,Boeing,1
1209,"In one exchange, an unnamed Boeing employee says the 737 Max ""is designed by clowns, who in turn are supervised by monkeys,"" after complaining about the flight management computer.",Boeing,1
1212,"BREAKING: The Iranian government has blamed ""human error"" for its military firing missiles that destroyed the Boeing 737-800, killing all 176 aboard",Boeing,1
1213,U.S. and Boeing investigators are joining the probe into the crash at the invitation of Iranian authorities ,Boeing,1
1214,"“The evidence indicates that the plane was shot down by an Iranian surface to air missile,” Canadian Prime Minister Justin Trudeau said about the crash of the Ukrainian Boeing 737-800 that killed 176 people, including 63 Canadians",Boeing,1
1217,"82 Iranians, 63 Canadians and 11 Ukrainians, including the crew members, were among those killed in the Ukrainian Boeing 737-800 crash",Boeing,1
1219,Boeing’s troubles are far from over. @WSJheard explains. #WSJWhatsNow ,Boeing,1
1220,Boeing reports a loss of $636 million in 2019. Mounting costs from the 737 MAX crisis sent the company to its worst financial performance in two decades.,Boeing,1
1221,Arconic said it expected to lose $400 million in sales and could cut jobs this year as a result of Boeing's halted production of the 737 MAX,Boeing,1
1225,Boeing has pushed back its timetable for regulators to approve the return of the 737 MAX to at least the middle of the year. Shares fell about 5%.,Boeing,1
1226,"Boeing has found a software problem that prevents the 737 MAX’s computers from powering up prior to flight, a discovery that could complicate the aircraft’s return to service",Boeing,1
1233,"""Would you put your family on a MAX simulator trained aircraft? I wouldn’t,"" said one internal exchange, among many communications released by Boeing ",Boeing,1
1238,"Ukraine Air Boeing 737 jet carrying at least 170 people crashed in Tehran after takeoff, according to Iranian state TV",Boeing,1
1241,"For months, Boeing's CEO had the support of the board of directors. This is how he lost it. ",Boeing,1
1242,Boeing is considering plans to raise more debt to bolster finances strained by the grounding of its 737 MAX,Boeing,1
1243,Boeing's decision to halt production of its 737 MAX aircraft is starting to trickle down its supply chain,Boeing,1
1245,"Stanley Black & Decker buys Boeing supplier CAM for $1.5 billion, with caveat",Boeing,1
1246,Boeing posted a surprise loss of $2.53 billion and warned costs related to the grounding of the 737 MAX jets hover near $19 billion,Boeing,1
1248,"Boeing suffers its biggest annual loss since 1997, on mounting 737 MAX costs",Boeing,1
1250,"Boeing posts surprise loss, 737 MAX costs climb to $19 billion",Boeing,1
1251,Brazil antitrust regulator gives nod to Boeing-Embraer deal ,Boeing,1
1253,Former Boeing CEO Muilenburg resigns from Caterpillar board ,Boeing,1
1255,Boeing secures financing commitments for over $12 billion: source,Boeing,1
1260,Boeing 777X jetliner successfully completes maiden flight,Boeing,1
1262,Boeing delays 777X first flight again due to bad weather,Boeing,1
1265,Financier doubts add to Boeing's MAX headaches ,Boeing,1
1268,Boeing reschedules 777X plane's first test flight for Friday,Boeing,1
1289,"Boeing warns of new 737 MAX delay, now sees mid-year return to service",Boeing,1
1290,"Boeing says 737 MAX may not win approval to return until mid-year, shares drop",Boeing,1
1291,Boeing plans to stage first flight of 777X plane this week: sources,Boeing,1
1292,Crisis-hit U.S. planemaker Boeing has so far secured at least $6 billion from banks and is talking to other lenders for more contributions,Boeing,1
1293,Boeing is in talks with banks about borrowing $10 billion or more amid rising costs for the U.S. planemaker after two crashes involving its 737 MAX jetliner,Boeing,1
1295,Embraer studies turboprop to be developed through Boeing venture ,Boeing,1
1297,AerCap CEO warns against panic discounts for Boeing 737 MAX jets,Boeing,1
1301,Boeing customer Air Lease says 'damaged' MAX brand should be dropped ,Boeing,1
1303,"Unable to sell Mexico’s presidential Boeing 787 Dreamliner, President Lopez Obrador now wants to try and raffle it off",Boeing,1
1304,Boeing addresses new 737 MAX software issue that could keep plane grounded longer,Boeing,1
1305,"JUST IN: Boeing is addressing a new 737 MAX software issue discovered during technical review, says it is 'making necessary updates'",Boeing,1
1306,Southwest Airlines push Boeing 737 MAX flight cancellations into June,Boeing,1
1307,"FAA should mandate safety management systems for Boeing, others: panel ",Boeing,1
1308,Malaysia Airlines suspends Boeing 737 MAX deliveries due to jet's grounding,Boeing,1
1327,"Boeing's ousted CEO departs with $62 million, even without severance pay",Boeing,1
1340,Boeing may have to lower 787 Dreamliner production rate: Air Lease CEO,Boeing,1
1341,"EU resumes probe into Boeing-Embraer deal, sets new April 30 deadline",Boeing,1
1343,Iran will not give black box from crashed Ukrainian airliner to Boeing: Mehr ,Boeing,1
1347,"Boeing changes stance, recommends 737 MAX simulator training for pilots",Boeing,1
1349,JUST IN: Boeing says aware of media reports about plane crash in Iran and gathering more information ,Boeing,1
1350,"NASA, Boeing probe software glitch that stopped astronaut capsule from reaching space station ",Boeing,1
1354,"Hyundai is the first carmaker to join Uber’s air-taxi project, which also counts Boeing subsidiary Aurora Flight Sciences among its partner firms. #CES2020",Boeing,1
1355,"U.S., European regulators to meet with Boeing this week on 737 MAX software audit",Boeing,1
1360,Boeing is reportedly considering tapping the debt markets to help cover expenses after the grounding of its 737 MAX jet,Boeing,1
1362,Mexico's Aeromexico reaches compensation agreement with Boeing on MAX crisis ,Boeing,1
1364,Boeing considers raising more debt as MAX crisis weighs: WSJ ,Boeing,1
1366,"Boeing, FAA reviewing wiring issue on grounded 737 MAX",Boeing,1
1370,"“Boeing has a reputation of being run by bean counters. It used to be run by engineers who were far more interested in building the best plane they could.” The Economist’s Simon Wright says Boeing’s new chief has big changes to make, in “Money Talks” ",Boeing,1
1371,What does the new boss of Boeing need to do to turn the aerospace company around? Find out on our “Money Talks” podcast ,Boeing,1
1374,"Can a new boss salvage the reputation of Boeing? Listen to “Editor’s Picks” to hear essential stories from the latest issue of The Economist, read aloud ",Boeing,1
1375,David Calhoun is the latest of a long line of chief executives schooled by Jack Welch. Can he salvage Boeing‘s reputation? ,Boeing,1
1376,"In becoming Boeing’s new boss, David Calhoun is taking on one of the world’s most difficult jobs ",Boeing,1
1377,"Listen to “Editor’s Picks” to hear essential stories from The Economist, read aloud. This week: the fallout from the killing of Qassem Suleimani, the new CEO fighting to save the skin of Boeing and, Harry and Meghan go private ",Boeing,1
1378,Boeing 777X: World’s largest twin-engine jet completes first flight,Boeing,1
1379,Iran plane crash: Tehran won't give Boeing or US black boxes ,Boeing,1
1381,"Boeing and Airbus dominate the aircraft industry. Together, they control 99% of large commercial jet sales.",Boeing,1
1383,"Just three days after Boeing warned airlines that they shouldn't count on the 737 Max flying again before midyear, the US Federal Aviation Administration said it might move faster than that",Boeing,1
1388,"Boeing executives now expect the 737 Max will not be approved to fly until the middle of this year, the company says",Boeing,1
1389,"The Boeing 737 Max is officially on hold. The assembly line in Renton, Washington, has stopped building Boeing's bestselling plane, the company confirmed late Monday.",Boeing,1
1391,No one knows when the Boeing 737 Max will return to service. But it won't be any time soon.,Boeing,1
1393,"A special panel reviewing how the FAA certifies aircraft recommended the agency continue delegating some safety reviews to manufacturers, including Boeing, despite criticism over that process following two 737 MAX crashes that killed hundreds of people",Boeing,1
1394,Today's top business headlines: - US and China sign phase one trade deal - Bruising year for Boeing - BlackRock to change investment strategy - WNBA's new labor deal means more money ,Boeing,1
1398,Dave Calhoun might have the toughest job in corporate America: Fixing Boeing ,Boeing,1
1399,"Ousted Boeing CEO Dennis Muilenburg will not receive severance as part of his departure from the embattled company, the company disclosed Friday ",Boeing,1
1400,Boeing's largest supplier is laying off a significant number of its employees because of the 737 Max production suspension.,Boeing,1
1401,"Secretary of State Mike Pompeo says the US believes it's ""likely"" Iran shot down a Ukrainian jetliner that crashed near Iran's capital Tehran earlier this week, killing all 176 people on board the Boeing 737-800.",Boeing,1
1409,"Boeing is recommending 737 Max pilots receive simulator training — an outcome the company had tried to avoid. The decision is an expensive one, and will likely further delay the plane's return to service after it was grounded following two fatal crashes.",Boeing,1
1410,Today's top business headlines: - Oil prices rise as US-Iran tensions escalate - Drug prices going up in 2020 - Boeing uncovers another design flaw with 737 Max,Boeing,1
1411,Boeing is reportedly looking into new concerns about the safety of the troubled 737 Max jet,Boeing,1
1414,"Breaking News: Boeing said the 737 Max grounding was likely to cost the company more than $18 billion, a significant increase over earlier estimates",Boeing,1
1415,"More than a decade after a fatal Boeing crash, Dutch officials released a study on Tuesday that was critical of the manufacturer but never published. Its lessons would have proved relevant to recent 737 Max crashes that killed 346 people.",Boeing,1
1416,"Boeing said it did not expect regulators to approve the 737 Max to fly until mid-2020, delaying again when it would be ready for travel",Boeing,1
1417,The muted criticism of Boeing after the 2009 accident fits within a broader pattern of the company benefiting from a light-touch approach by safety officials. Read our previous coverage:,Boeing,1
1418,"In its final report, the Dutch Safety Board either excluded or played down criticism of Boeing and instead primarily blamed the pilots, all 3 of whom were killed, for failing to react properly when an automated system malfunctioned.",Boeing,1
1419,"In the 2009 crash and in more recent crashes that killed 346 people, a powerful automated command was triggered by a single faulty sensor. The first crash should have dissuaded Boeing from using a similar design in the Max, one expert said. Instead, ""the issue got buried.""",Boeing,1
1420,An expert study that was never made public found that Boeing bore significant responsibility for a deadly 737 crash in 2009. Our review of the evidence reveals striking parallels with recent 737 Max crashes.,Boeing,1
1421,An expert study critical of Boeing after a deadly 2009 accident was never made public. It reveals striking parallels with recent 737 Max crashes.,Boeing,1
1422,"Dennis Muilenburg's replacement at Boeing, David Calhoun, could be paid a $7 million bonus if he can get the 737 Max, which has been grounded since March, safely flying again",Boeing,1
1423,"Breaking News: Dennis Muilenberg, who ran Boeing during 2 deadly crashes, will leave the company with $62.2 million in stock and pension awards",Boeing,1
1424,"The company that supplies Boeing with the fuselage for its 737 Max jet said Friday that it would lay off around 2,800 employees at a facility in Kansas",Boeing,1
1428,"Everyone on board the Boeing 737 that crashed near Tehran has died, the Iranian state news media reported. The plane was bound for Kyiv, Ukraine’s capital.",Boeing,1
1429,"A Boeing 737 carrying 180 people crashed shortly after takeoff from Tehran because of technical problems, according to the Iranian Students News Agency, a state-run media agency",Boeing,1
1430,"Boeing will recommend that pilots train in simulators before flying the 737 Max, a move it had long resisted. The jets have been grounded since March following 2 crashes that killed 346 people.",Boeing,1
1431,"Even as Boeing inches closer to getting the 737 Max back in the air, new problems with the plane are emerging that go beyond the software that played a role in two deadly crashes",Boeing,1
1432,"As Boeing works to get the 737 Max back in the air after 2 deadly crashes, new safety issues have emerged that go beyond faulty software",Boeing,1
1433,"Today's episode of ""The Daily"" podcast revisits our conversation with a whistleblower about what he said were systemic safety problems at Boeing: Is something deeper going wrong at the once-revered manufacturer? ",Boeing,1
1434,Boeing posts its first annual loss in 22 years because of the 737 Max crisis,Boeing,1
1441,"Boeing has found another potential design flaw with the 737 Max, which has been grounded since March after two crashes that killed 346 people",Boeing,1
1442,Commercial airlines are rerouting flights crossing the Middle East to avoid possible danger amid escalating tensions between the United States and Iran. ,United Airlines,0
1443,Flames erupt on #UnitedAirlines plane engine forcing #Flight1871 to land soon after take-off MORE:,United Airlines,1
1444,#UnitedAirlines plane forced into emergency landing right after take-off as engine SPITS FIRE MORE: ,United Airlines,1
1445,United Airlines suspends some China flights as demand falls amid coronavirus ,United Airlines,1
1447,United Airlines earnings and revenue narrowly beat estimates ,United Airlines,1
1454,United Airlines flight forced to return to airport minutes after takeoff due to mechanical problem that apparently resulted in flames shooting from one of its engines. ,United Airlines,1
1457,United Airlines to record $90 million charge related to Hong Kong routes,United Airlines,1
1459,British Airways has suspended flights between the United Kingdom and China in light of the Wuhan coronavirus outbreak. It's the most drastic action yet by a major airline as the deadly coronavirus continues to spread. ,United Airlines,0
1460,United Airlines is temporarily reducing its schedule between the United States and three cities in China in light of the Wuhan virus ,United Airlines,1
1462,"United Airlines is hoping to make the cold weather a bit more bearable with durable new uniforms for their 28,000 employees who work primarily outdoors.",United Airlines,1
1464,"'Only in Los Angeles can royalty become the uber-celebrity minus the duty and the criticism, while retaining all the perks' | Celia Walden ",UBER,0
1465,The launch of Uber and Lyft in Vancouver this morning comes less than 24 hours after the city's Passenger Transportation Board announced it had approved ride-hailing.,UBER,1
1466,Man charged £600 for 30-minute Uber journey,UBER,1
1469,Customer criticises Uber after driver stopped him kissing a man because she is 'Christian' ,UBER,1
1470,"Flying taxis could become reality within four years, Uber says ",UBER,1
1471,Uber driver who exposed himself to passenger avoids jail ,UBER,1
1473,Uber Eats sold to local rival in India ,UBER,1
1477,Uber and DoorDash reportedly held failed talks to merge last year ,UBER,1
1479,Uber's self-driving cars are a key to its path to profitability ,UBER,1
1480,"2019 was a rough year for Uber, but it did have one bright spot: the $3.1 billion acquisition of its Middle Eastern rival Careem. Here’s why Uber bet big on Careem.",UBER,1
1481,"Here's why Uber could break out in 2020, according to RBC Capital's Mahaney",UBER,1
1482,Uber to offer UK drivers electric Nissan cars at a discount as it fights London ban ,UBER,1
1483,"“The vision for growth is absolutely there, but it’s growth that makes sense.” Uber CEO Dara Khosrowshahi discusses the company's decision to sell its food delivery business in India to Zomato. #Davos2020",UBER,1
1484,"Uber has a better shot at reaching profitability than its competitors, CEO says ",UBER,1
1486,"Stocks making the biggest moves midday: Morgan Stanley, Beyond Meat, Uber, Tesla and more ",UBER,1
1487,Uber stock surges after it offloads food delivery in India in a bid for profitability. ,UBER,1
1488,Uber keeps chasing profitability by ditching businesses in countries it doesn't dominate ,UBER,1
1489,"LinkedIn Editor-in-Chief @danroth explains why job seekers would apply to work at places that get bad press, like Tesla and Uber. ",UBER,1
1491,"Food delivery is expected to become a $467 billion industry by 2025. Here’s a look at the growth of the 4 companies leading the boom — DoorDash, Grubhub, Postmates and Uber Eats.",UBER,1
1492,Have you heard about Uber Freight? Here’s how this online platform is changing the game in the trucking industry. ,UBER,0
1495,The EU is backing taxi app Bolt to help it compete with Uber ,UBER,1
1500,Hyundai and Uber team up to debut new flying taxis at CES ,UBER,1
1503,Super Bowl 2020: Exclusive Gronk donuts on Uber Eats and flights for 57 cents from Heniz,UBER,1
1504,California Uber driver accused of raping female passenger he was driving home ,UBER,1
1506,"Bollywood star, Sonam Kapoor, 'shaken' after Uber ride in London ",UBER,1
1507,The chief executive of Uber Technologies has held private talks with London’s transport supremo amid the legal battle overshadowing the ride-hailing app’s biggest British operation ,UBER,1
1508,Uber and London transport chiefs hold crunch talks amid licence dispute ,UBER,1
1511,"In a partnership with Uber, car firm Hyundai revealed a concept version of its electric vertical take-off and landing (eVTOL) machine, the SA-1, which could take to the skies as soon as 2023",UBER,1
1514,Uber loosens rules for drivers to escape California law ,UBER,1
1515,Uber says it aims to conduct test flights of its flying taxi service this year and hopes to begin commercial operations within three years ,UBER,1
1517,Uber and Hyundai Motor team up to develop flying taxi ,UBER,1
1518,Uber is learning that the disrupter economy works both ways as their drivers exercise their rights to flexibility — Joy Lo Dico ,UBER,1
1519,Uber reveals plans for flying taxi to bypass road traffic congestion ,UBER,1
1520,"""That definitely should not be happening,"" Uber responded to the ""Being Mary Jane"" actor's New Year's Eve tale. ",UBER,1
1521,"Uber self-driving cars, with safety drivers, to cruise Washington. ",UBER,1
1524,"""To better food for more people..."" Zomato boss after Uber Eats deal. ",UBER,1
1525,"""A big day for us...look forward to this new beginning and exciting times, together,"" tweets Zomato on acquiring Uber Eats. #Zomato #UberEats",UBER,1
1528,"Exclusive: To fight a new employment law, Uber pits California drivers against each other. Critics call the ""name your price"" system a race to the bottom. Uber is arguing the changes establish driver independence. ",UBER,1
1530,"Uber’s secret project to bolster its case against AB5, California’s gig-worker law",UBER,1
1531,"The fee tacked onto any ride to or from the Sky Harbor airport has led Uber and Lyft to threaten to discontinue operating at the international hub, and faced backlash from local politicians. ",UBER,1
1535,Uber is offering riders a four-digit pin code to help ensure they're getting into the right car. ,UBER,1
1536,"Hotel workers, Uber drivers asked to be on alert for human trafficking during Super Bowl ",UBER,1
1537,"Uber is letting drivers at airports in Santa Barbara, Palm Springs and Sacramento charge up to five times the fare Uber sets ",UBER,1
1538,The IPO of mattress company Casper will be a test of how much Wall Street’s appetite for money-losing startups has changed after Uber and WeWork. ,UBER,1
1543,"A mom offered to make bacon and eggs for four teenagers. They declined. An hour later, an Uber Eats courier arrived with a load of tacos. ",UBER,1
1545,"Ahead of Uber exit, Colombian president calls for tech level playing field ",UBER,1
1546,Uber will begin data collection for self-driving vehicles on Friday in Washington ,UBER,1
1547,Judge dismisses defunct startup Sidecar's 2018 lawsuit against Uber,UBER,1
1548,Uber tests feature allowing some California drivers to set fares ,UBER,1
1550,Uber sells Indian food delivery arm to Ant Financial-backed Zomato ,UBER,1
1559,Hyundai joins the flying car race to ease urban congestion as it partners up with Uber to develop electric air taxis #CES2020,UBER,1
1560,"South Korean automaker Hyundai unveiled its electric flying car concept at the Consumer Electronics Show in Las Vegas, announcing it will partner up with Uber to jointly develop electric air taxis #CES2020",UBER,1
1565,"Uber and Hyundai have teamed up to develop electric air taxis, joining the race to make small self-flying cars to ease urban congestion. #CES2020",UBER,1
1566,Uber partners with Hyundai on electric air taxi ,UBER,1
1572,Uber and Postmates have filed a lawsuit to block California's AB5 law that seeks to make it harder for 'gig economy' companies to hire workers as independent contractors rather than employees,UBER,1
1576,"Uber, Postmates sue to block California gig worker law, claiming it's unconstitutional ",UBER,1
1577,"Heavy drinking surged by 9% within a couple of years of Uber coming to town, a new study found",UBER,1
1578,Airbus and Uber are investing in flying-car technology. Could self-flying drones replace cars in our cities? ,UBER,1
1581,Uber sells its India food delivery business to Zomato ,UBER,1
1582,Today's top business headlines: - Mnuchin promises more tax cuts for middle class - Trump zeroes in on his next trade target: Europe - Uber preps to test self-driving cars in DC - 'Cats' box office disaster hurts universal ,UBER,1
1584,Uber is laying the groundwork to bring its self-driving cars to the nation's capital ,UBER,1
1585,Uber is testing a new feature that lets some drivers in California choose how much they will charge customers. It's the company's latest response to a new state law that makes it more difficult for employers to classify workers as independent contractors. ,UBER,1
1591,Uber and Hyundai just unveiled its flying taxi that could one day fly Uber riders around cities ,UBER,1
1594,"This Uber driver graduated after a passenger paid her college debt, allowing her to complete classes. ",UBER,1
1598,An Uber driver says she is one step closer to achieving her dream of becoming a lawyer thanks to a random passenger who paid off her college debt when he heard her life's story ,UBER,1
1601,Los Angeles is planning to make its taxi system look more like Lyft or Uber. Taxis can be requested from a centralized dispatch with an app and passengers will know the cost of their rides before getting into the car. ,UBER,1
1602,"In Opinion E. Tammy Kim writes, ""Only a broad-based fight for fair treatment and lawful classification can dismantle the ideology of labor built into Uber and its ilk."" ",UBER,1
1603,"Hyundai and Uber announced on Monday at CES that they were joining forces to develop an all-electric air taxi. They did not have a life-size prototype or photo to show, and instead offered a small-scale model of the vehicle. ",UBER,1
1606,"Passenger on Royal Caribbean cruise ship ""Oasis of the Seas"" dies after going overboard in Puerto Rico. ",Royal Caribbean,1
1607,AMD falls after soft revenue projection ,AMD,1
1608,Semis stocks crashed 27% the last time the charts flashed this signal $SMH $SOXX $AMD $TXN (via @TradingNation),AMD,1
1610,Hottest stock of 2019 AMD is on the move again after upgrade,AMD,1
1611,AMD claims new laptop chips outperform Intel ,AMD,1
1612,AMD just hit its first record high in two decades. Here's what's next ,AMD,1
1617,AMD revenue forecast disappoints on weak console demand ,AMD,1
1619,Tesla shares could dive into 'deep pessimism' after 100% rally in three months $TSLA (via @TradingNation),TSLA,1
1620,"'Too late to buy, but too early to sell': Traders grapple with Tesla's roaring run $TSLA (via @TradingNation)",TSLA,1
1621,"With Tesla at all-time highs, Cramer and other pros see more runway $TSLA (via @TradingNation)",TSLA,1
1622,"Tesla took investors by surprise, posting its second-straight quarterly profit after delivering a record number of vehicles. Shares rose after its earnings release, hitting an all-time high and cracking the $600 mark for the first time",TSLA,1
